,Runtime,IMDB_Rating,description,director_idx,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
265,125,8.1,"Dà hóng denglong gaogao guà - A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",539,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
948,101,7.6,The Others - A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
260,99,8.1,Trois couleurs: Rouge - A model discovers a retired judge is keen on invading people's privacy.,283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
225,116,8.1,"Gran Torino - Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,120,8.0,"Slumdog Millionaire - A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
324,130,8.0,"Airlift - When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",393,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
379,137,8.0,"Yeopgijeogin geunyeo - A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",200,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,165,8.4,"Django Unchained - With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
563,92,7.9,His Girl Friday - A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,187,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
990,157,7.6,Giù la testa - A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
883,101,7.6,"Gifted - Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,122,8.5,"Joker - In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",499,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
399,90,8.0,Aladdin - A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,432,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,131,8.1,"Le salaire de la peur - In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",180,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
885,138,7.6,Victoria - A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,447,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,179,8.7,"The Lord of the Rings: The Two Towers - While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",383,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,90,7.7,Flipped - Two eighth-graders start to have feelings for each other despite being total opposites.,413,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,93,8.1,Hachi: A Dog's Tale - A college professor bonds with an abandoned dog he takes into his home.,286,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
437,161,8.0,"Anatomy of a Murder - In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",369,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
193,95,8.2,The Gold Rush - A prospector goes to the Klondike in search of gold and finds it and more.,74,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,136,7.8,"Walk the Line - A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",208,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
398,156,8.0,"Scent of a Woman - A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,96,7.8,"The Lady Vanishes - While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
612,129,7.8,"The Trial of the Chicago 7 - The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
767,157,7.7,"Zodiac - In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",100,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,88,8.2,"Rashômon - The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
642,131,7.8,"The Count of Monte Cristo - A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",279,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,71,7.6,"The Secret of Kells - A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",505,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
420,138,8.0,"Sleuth - A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
446,118,8.0,Roman Holiday - A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,106,8.5,Whiplash - A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
209,99,8.1,"The Grand Budapest Hotel - A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",524,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,86,8.0,"Brief Encounter - Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518,111,7.9,"Mimi wo sumaseba - A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",541,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
965,135,7.6,The Bridges of Madison County - Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
924,104,7.6,"Huo Yuan Jia - A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",434,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,94,7.8,Badlands - An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,485,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,104,8.0,"Au revoir les enfants - A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,129,8.2,"To Kill a Mockingbird - Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",420,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,163,8.2,"Drishyam - Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",358,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
618,169,7.8,"The Hobbit: An Unexpected Journey - A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",383,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
649,157,7.8,The Insider - A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,331,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
909,113,7.6,"Celda 211 - The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",93,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,167,8.1,Solaris - A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
347,146,8.0,"The Help - An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,102,7.7,"Dirty Harry - When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",115,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
401,84,8.0,Beauty and the Beast - A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,151,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
970,120,7.6,"My Cousin Vinny - Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",255,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,110,8.5,"Léon - Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",294,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,113,7.9,"Edge of Tomorrow - A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,45,8.2,"Sherlock Jr. - A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
972,99,7.6,Delicatessen - Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,107,7.7,"O Brother, Where Art Thou? - In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",231,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,122,7.7,3:10 to Yuma - A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,208,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,103,8.3,Singin' in the Rain - A silent film production company and cast make a difficult transition to sound.,461,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
523,144,7.9,"Carlito's Way - A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",60,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,137,8.3,"Aliens - Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,136,8.3,"A Clockwork Orange - In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",463,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
427,106,8.0,The Graduate - A disillusioned college graduate finds himself torn between his older lover and her daughter.,341,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
585,135,7.8,"Little Women - Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
307,111,8.1,"Ace in the Hole - A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",49,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
726,116,7.7,"En man som heter Ove - Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",177,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
944,114,7.6,"Batoru rowaiaru - In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",282,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,105,8.1,Le samouraï - After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,220,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
473,130,7.9,"Thor: Ragnarok - Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",476,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,130,7.7,Fried Green Tomatoes - A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,131,8.3,Incendies - Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
841,124,7.7,"Ordinary People - The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,122,8.1,"Kahaani - A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
474,117,7.9,"Nightcrawler - When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",92,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
538,123,7.9,Amarcord - A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,133,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288,127,8.1,"Cool Hand Luke - A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",471,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,113,8.0,"Il conformista - A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,107,7.6,Die Welle - A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
578,101,7.8,Kubo and the Two Strings - A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,509,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,150,8.0,"Serbuan maut 2: Berandal - Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",149,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,126,8.4,"Capharnaüm - While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,107,8.1,"Zerkalo - A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,159,7.8,"Breaking the Waves - Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,102,7.6,Hell or High Water - A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,104,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,102,8.5,Casablanca - A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
715,102,7.8,"Bringing Up Baby - While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",187,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
919,127,7.6,"Stardust - In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",320,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
295,123,8.1,The Man Who Shot Liberty Valance - A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,125,8.4,The Great Dictator - Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
950,131,7.6,Enemy at the Gates - A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,216,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
678,84,7.8,Evil Dead II - The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,440,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
404,133,8.0,Rain Man - Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,129,7.7,The Verdict - A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,138,7.8,Raazi - A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,322,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
901,109,7.6,"End of Watch - Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",98,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,183,8.1,The Deer Hunter - An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,130,8.2,"Unforgiven - Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,186,8.2,Bhaag Milkha Bhaag - The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,396,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
685,105,7.8,Ghostbusters - Three former parapsychology professors set up shop as a unique ghost removal service.,193,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,91,8.2,"Smultronstället - After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",190,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
927,153,7.6,"Harry Potter and the Half-Blood Prince - As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",107,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
336,96,8.0,Short Term 12 - A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,125,7.7,Fantasia - A collection of animated interpretations of great works of Western classical music.,201,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
463,130,7.9,"Knives Out - A detective investigates the death of a patriarch of an eccentric, combative family.",400,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,93,8.1,"Song of the Sea - Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",505,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,110,7.7,"Goldfinger - While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
914,128,7.6,Sherlock Holmes - Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
953,101,7.6,"American Psycho - A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",315,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,127,7.7,"Donnie Brasco - An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",340,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
